                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.81714,                0.54149,                0.08193,                0.53121,                0.35987,                0.38021,                0.22781,                0.74649,                0.56021,                 0.0804,                 0.0001,                 0.0001,                 0.0001
                     37,                0.82075,                 0.5387,                0.08259,                0.53348,                0.36332,                 0.3825,                0.22975,                0.74361,                0.55992,                0.07988,                 0.0001,                 0.0001,                 0.0001
                     38,                0.81251,                0.53899,                0.08125,                0.53212,                0.36452,                0.38403,                0.23025,                0.74138,                0.55896,                0.07962,                 0.0001,                 0.0001,                 0.0001
                     39,                0.80892,                0.54031,                0.08078,                0.54051,                 0.3655,                0.38674,                0.23195,                0.73892,                0.55916,                0.07929,                 0.0001,                 0.0001,                 0.0001
                     40,                0.80719,                 0.5388,                0.08007,                0.53754,                0.36953,                0.38843,                0.23344,                0.73564,                 0.5592,                0.07851,                 0.0001,                 0.0001,                 0.0001
                     41,                0.80218,                0.53854,                0.07937,                0.53971,                0.37234,                0.39074,                 0.2347,                0.73336,                0.55875,                0.07781,                 0.0001,                 0.0001,                 0.0001
                     42,                0.80281,                0.53613,                0.07922,                0.53721,                0.37518,                0.39227,                 0.2362,                0.73077,                0.55839,                0.07729,                 0.0001,                 0.0001,                 0.0001
                     43,                0.80048,                0.53693,                0.07879,                0.54311,                0.37555,                0.39535,                0.23764,                0.72833,                0.55806,                0.07673,                 0.0001,                 0.0001,                 0.0001
                     44,                 0.7956,                0.53668,                0.07775,                0.54603,                0.37645,                0.39749,                0.23906,                 0.7259,                0.55842,                0.07647,                 0.0001,                 0.0001,                 0.0001
                     45,                0.79666,                0.53557,                 0.0786,                0.55255,                 0.3752,                0.39911,                0.24038,                0.72451,                0.55797,                0.07649,                 0.0001,                 0.0001,                 0.0001
                     46,                0.79694,                0.53357,                0.07811,                0.55087,                0.37945,                0.40093,                 0.2417,                0.72269,                0.55762,                0.07615,                 0.0001,                 0.0001,                 0.0001
                     47,                0.79843,                0.53481,                0.07848,                0.55396,                0.38148,                0.40288,                0.24267,                0.72051,                0.55733,                0.07571,                 0.0001,                 0.0001,                 0.0001
                     48,                0.78669,                0.53813,                0.07789,                0.55423,                 0.3848,                0.40453,                0.24384,                0.71847,                0.55761,                0.07542,                 0.0001,                 0.0001,                 0.0001
                     49,                0.78756,                0.53369,                0.07622,                0.56124,                0.38524,                0.40623,                0.24513,                0.71619,                0.55762,                0.07493,                 0.0001,                 0.0001,                 0.0001
                     50,                0.78444,                0.53491,                0.07713,                0.56457,                 0.3879,                0.40777,                0.24612,                0.71496,                0.55733,                0.07474,                 0.0001,                 0.0001,                 0.0001
                     51,                0.78429,                0.53456,                0.07522,                0.56645,                0.39014,                0.41043,                0.24763,                0.71283,                0.55777,                0.07453,                 0.0001,                 0.0001,                 0.0001
