                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8162,                0.27935,                0.46436,                0.23871,                0.03219,                0.04769,                0.00781,                 1.5632,                0.38893,                0.35871,               0.019231,              8.085e-05,              8.085e-05
                      2,                 1.4119,                 0.4855,                0.25228,                0.12743,                0.13325,                0.09002,                0.04427,                 1.1864,                0.56039,                0.19263,                 0.0001,                 0.0001,                 0.0001
                      3,                  1.225,                0.55117,                0.18333,                0.34966,                0.15482,                0.14751,                 0.0796,                 1.0857,                0.57165,                 0.1622,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.1464,                0.56128,                 0.1588,                0.25217,                0.18492,                0.15981,                0.08401,                 1.0282,                0.57319,                0.13853,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.0963,                0.56204,                0.14365,                0.29466,                0.21472,                0.18957,                0.10373,                0.96778,                0.58098,                0.12835,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.0595,                0.56262,                0.13518,                0.33221,                0.23326,                0.21067,                0.11803,                0.94311,                0.57267,                0.12171,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.0337,                 0.5603,                0.12871,                0.35913,                 0.2519,                0.23275,                0.13227,                0.91217,                0.57627,                 0.1148,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.0118,                0.55874,                0.12181,                0.36405,                0.26339,                0.24396,                0.13909,                0.88624,                 0.5777,                 0.1086,                 0.0001,                 0.0001,                 0.0001
                      9,                0.99027,                0.55949,                  0.118,                0.37256,                0.27342,                0.25495,                0.14625,                0.87149,                0.57487,                0.10495,                 0.0001,                 0.0001,                 0.0001
                     10,                0.97408,                0.55818,                 0.1134,                0.38669,                 0.2837,                0.26401,                0.15151,                0.85973,                0.57503,                0.10196,                 0.0001,                 0.0001,                 0.0001
                     11,                0.96162,                0.55731,                0.11103,                0.39644,                0.28885,                0.27339,                0.15775,                0.85167,                0.57516,                0.10096,                 0.0001,                 0.0001,                 0.0001
                     12,                0.94315,                0.55903,                0.10762,                0.40107,                0.29248,                0.27724,                0.16076,                0.84574,                0.57503,                0.09938,                 0.0001,                 0.0001,                 0.0001
                     13,                0.93653,                0.55678,                0.10438,                  0.405,                0.29535,                0.28181,                0.16426,                0.84077,                0.57443,                0.09837,                 0.0001,                 0.0001,                 0.0001
                     14,                0.92613,                0.55591,                0.10395,                0.41436,                0.29733,                0.28595,                0.16742,                0.83466,                0.57431,                0.09721,                 0.0001,                 0.0001,                 0.0001
                     15,                0.91126,                0.55512,                0.10067,                0.42199,                0.30014,                 0.2902,                 0.1694,                0.82951,                0.57414,                0.09613,                 0.0001,                 0.0001,                 0.0001
