                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8557,                0.27164,                0.48664,                0.32093,                0.02482,                0.01963,                0.00408,                 1.6605,                0.33642,                0.34209,               0.019231,              8.085e-05,              8.085e-05
                      2,                 1.4454,                 0.4748,                0.26542,                0.14325,                0.10674,                0.08957,                0.04107,                 1.2308,                0.53895,                0.20561,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.2581,                0.54422,                0.19484,                 0.2072,                0.13643,                0.12373,                0.06205,                  1.129,                0.56759,                0.16735,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.1811,                 0.5516,                0.16802,                0.25822,                0.17202,                0.15441,                0.08202,                 1.0493,                0.56938,                0.14107,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.1308,                0.55376,                0.15333,                0.26305,                0.18627,                0.16635,                 0.0876,                 1.0173,                0.56844,                0.13814,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.0927,                0.55626,                0.14267,                0.31957,                 0.2108,                0.19647,                0.10628,                0.98258,                0.56299,                0.12839,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.0679,                0.55569,                0.13662,                0.34292,                0.22067,                0.20977,                  0.115,                0.95129,                0.56559,                0.12103,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.0459,                 0.5535,                 0.1289,                0.34574,                0.23871,                0.22227,                0.12283,                0.92537,                0.56972,                0.11559,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.0261,                0.55351,                0.12574,                0.36014,                0.24585,                0.23149,                0.12922,                0.91082,                0.56741,                0.11147,                 0.0001,                 0.0001,                 0.0001
                     10,                  1.009,                0.55263,                0.12046,                0.36583,                0.25456,                0.24025,                0.13362,                0.90019,                0.56716,                0.10944,                 0.0001,                 0.0001,                 0.0001
                     11,                0.99743,                0.55065,                0.11833,                0.37214,                0.26587,                0.24799,                0.13856,                0.89032,                0.56785,                0.10715,                 0.0001,                 0.0001,                 0.0001
                     12,                0.97756,                0.55268,                0.11465,                0.37924,                 0.2696,                0.25315,                0.14267,                0.88363,                0.56758,                 0.1061,                 0.0001,                 0.0001,                 0.0001
                     13,                0.97159,                 0.5519,                0.11147,                0.39047,                0.27202,                 0.2593,                0.14611,                0.87715,                0.56797,                0.10516,                 0.0001,                 0.0001,                 0.0001
