                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8512,                0.27414,                0.48118,                0.31693,                0.02228,                0.01167,                0.00227,                 1.6224,                0.33301,                 0.3364,               0.019231,              8.085e-05,              8.085e-05
                      2,                 1.5198,                0.39122,                0.28133,                0.10518,                0.09677,                0.07389,                 0.0333,                 1.2296,                0.52619,                0.20645,                 0.0001,                 0.0001,                 0.0001
                      3,                  1.266,                 0.5393,                0.19453,                 0.3175,                0.12665,                0.10789,                0.05585,                 1.1059,                0.56762,                0.16944,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.1688,                0.56009,                0.16566,                0.24956,                0.17501,                0.14998,                0.07792,                 1.0441,                0.57872,                0.14479,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.1114,                0.56469,                0.14955,                0.30179,                0.19388,                0.17628,                0.09344,                0.98658,                 0.5798,                0.13246,                 0.0001,                 0.0001,                 0.0001
                      6,                 1.0676,                0.56577,                0.13742,                0.35296,                0.21971,                0.20376,                0.11061,                0.94583,                0.57541,                0.12208,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.0396,                0.56635,                0.13091,                 0.3472,                  0.238,                0.21995,                0.12134,                 0.9225,                0.57775,                0.11522,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.0165,                0.56279,                0.12319,                0.35748,                0.25326,                0.23299,                0.12912,                0.89745,                0.57601,                 0.1093,                 0.0001,                 0.0001,                 0.0001
                      9,                0.99405,                0.56288,                0.11924,                 0.3695,                0.26048,                0.24371,                 0.1368,                0.87955,                0.57549,                0.10554,                 0.0001,                 0.0001,                 0.0001
                     10,                0.97868,                 0.5599,                0.11446,                0.38769,                0.26833,                0.25621,                0.14527,                0.86839,                0.57483,                0.10338,                 0.0001,                 0.0001,                 0.0001
                     11,                0.96405,                 0.5589,                0.11145,                0.39879,                0.27298,                0.26403,                0.15044,                0.85973,                0.57342,                 0.1015,                 0.0001,                 0.0001,                 0.0001
                     12,                0.94648,                0.56073,                0.10838,                0.40351,                0.27585,                0.26894,                0.15394,                0.85256,                0.57297,                0.09992,                 0.0001,                 0.0001,                 0.0001
                     13,                0.93629,                0.55854,                0.10392,                0.40773,                0.28024,                0.27363,                0.15693,                0.84533,                0.57317,                0.09819,                 0.0001,                 0.0001,                 0.0001
                     14,                0.92627,                0.55711,                0.10392,                0.41651,                0.28368,                0.27908,                0.16086,                0.83978,                0.57214,                0.09697,                 0.0001,                 0.0001,                 0.0001
                     15,                0.91577,                0.55633,                0.10178,                0.42407,                0.28589,                0.28465,                0.16434,                0.83424,                 0.5716,                0.09606,                 0.0001,                 0.0001,                 0.0001
                     16,                0.90153,                0.55648,                0.09806,                0.43221,                0.28973,                0.28857,                0.16716,                0.82736,                0.57151,                0.09455,                 0.0001,                 0.0001,                 0.0001
                     17,                0.89421,                0.55566,                0.09776,                0.43906,                 0.2918,                0.29197,                0.16923,                0.82043,                0.57156,                0.09284,                 0.0001,                 0.0001,                 0.0001
                     18,                 0.8852,                0.55493,                0.09482,                0.44034,                0.29633,                0.29599,                0.17253,                0.81474,                0.57104,                 0.0921,                 0.0001,                 0.0001,                 0.0001
                     19,                0.88105,                0.55145,                0.09385,                0.45089,                0.29957,                0.30157,                0.17628,                0.80857,                0.57096,                0.09131,                 0.0001,                 0.0001,                 0.0001
                     20,                0.87446,                0.55152,                0.09234,                 0.4447,                0.30586,                0.30707,                0.17982,                0.80308,                 0.5702,                0.09017,                 0.0001,                 0.0001,                 0.0001
                     21,                 0.8658,                0.55108,                 0.0918,                0.45253,                0.30974,                0.31251,                0.18331,                0.79655,                0.56963,                0.08895,                 0.0001,                 0.0001,                 0.0001
                     22,                0.86558,                0.54936,                0.09085,                0.44732,                0.31685,                 0.3171,                0.18611,                0.79184,                0.56968,                0.08797,                 0.0001,                 0.0001,                 0.0001
                     23,                0.85525,                0.54909,                0.08964,                0.45602,                0.31877,                0.32147,                0.18919,                0.78739,                0.56833,                 0.0869,                 0.0001,                 0.0001,                 0.0001
                     24,                0.85271,                0.54687,                0.08885,                0.46731,                0.31884,                0.32576,                0.19179,                 0.7818,                0.56723,                 0.0857,                 0.0001,                 0.0001,                 0.0001
                     25,                0.84925,                0.54649,                0.08735,                0.46743,                0.32096,                0.32818,                0.19334,                0.77621,                0.56713,                0.08446,                 0.0001,                 0.0001,                 0.0001
                     26,                0.84311,                0.54582,                0.08619,                0.47439,                0.32529,                0.33318,                0.19699,                 0.7713,                0.56671,                0.08348,                 0.0001,                 0.0001,                 0.0001
                     27,                0.83522,                 0.5448,                0.08518,                0.47969,                0.33162,                0.33769,                0.20013,                0.76538,                0.56718,                0.08243,                 0.0001,                 0.0001,                 0.0001
                     28,                0.82878,                0.54564,                 0.0844,                 0.4886,                0.33271,                0.34248,                0.20331,                0.76176,                0.56617,                0.08164,                 0.0001,                 0.0001,                 0.0001
                     29,                 0.8293,                0.54272,                 0.0836,                0.49079,                0.33697,                0.34677,                0.20604,                0.75707,                0.56542,                0.08074,                 0.0001,                 0.0001,                 0.0001
                     30,                0.82861,                0.54195,                0.08403,                0.49311,                0.34093,                0.35169,                0.20942,                0.75397,                0.56461,                0.08021,                 0.0001,                 0.0001,                 0.0001
                     31,                0.81633,                0.54425,                0.08191,                0.50487,                 0.3451,                0.35626,                0.21166,                0.74964,                0.56432,                0.07938,                 0.0001,                 0.0001,                 0.0001
                     32,                0.81534,                0.54268,                0.08148,                0.50815,                0.34766,                0.35885,                0.21335,                0.74769,                 0.5631,                0.07904,                 0.0001,                 0.0001,                 0.0001
                     33,                0.81578,                0.54211,                0.08047,                0.51323,                0.35014,                0.36312,                0.21668,                0.74362,                0.56278,                0.07818,                 0.0001,                 0.0001,                 0.0001
                     34,                 0.8111,                0.53963,                 0.0804,                0.51573,                0.35329,                0.36749,                0.21946,                0.73981,                0.56216,                0.07734,                 0.0001,                 0.0001,                 0.0001
                     35,                0.80197,                0.54189,                0.07912,                0.52084,                0.35814,                0.37206,                0.22224,                0.73661,                0.56167,                0.07694,                 0.0001,                 0.0001,                 0.0001
                     36,                 0.8038,                 0.5406,                0.07883,                0.52192,                0.36223,                0.37522,                0.22462,                0.73455,                0.56083,                 0.0765,                 0.0001,                 0.0001,                 0.0001
                     37,                0.80484,                0.53985,                0.07954,                0.52599,                0.36557,                0.37862,                0.22682,                0.73124,                0.56116,                  0.076,                 0.0001,                 0.0001,                 0.0001
                     38,                0.79653,                0.53904,                0.07754,                   0.53,                0.36755,                0.38275,                0.22996,                0.72949,                0.56002,                0.07525,                 0.0001,                 0.0001,                 0.0001
                     39,                0.79562,                0.53978,                0.07776,                0.53618,                0.36867,                0.38443,                 0.2311,                 0.7282,                0.55935,                0.07508,                 0.0001,                 0.0001,                 0.0001
